Sentence,Category,Spacy
" Isaac David Abella (June 20, 1934 – October 23, 2016) was a Professor of Physics at The University of Chicago.",H0,"[[0, 5, 'H0'], [6, 11, 'H0'], [12, 18, 'H0'], [25, 28, 'H1'], [29, 33, 'H1'], [34, 35, 'H1'], [36, 43, 'H1'], [44, 47, 'H1'], [48, 53, 'H1'], [54, 57, 'H1'], [60, 69, 'H1'], [70, 72, 'H1'], [73, 80, 'H1'], [81, 83, 'H1'], [84, 87, 'H1'], [88, 98, 'H1'], [99, 101, 'H1'], [102, 110, 'H1']]"
" He specialized in laser physics, quantum optics, and spectroscopy.",None,[]
 Isaac was the cousin of Irving Abella.,H0,"[[0, 5, 'H0'], [24, 30, 'H0'], [31, 38, 'H0']]"
" Isaac Abella was born on June 20, 1934 in Toronto, Ontario.",H0,"[[0, 5, 'H0'], [6, 12, 'H0'], [25, 29, 'H1'], [30, 33, 'H1'], [34, 38, 'H1'], [42, 50, 'H1'], [51, 59, 'H1']]"
" Abella received his Bachelor of Arts degree (1957) from the University of Toronto, Master of Arts (1959) degree, and Ph.",H0,"[[0, 6, 'H0'], [60, 70, 'H1'], [71, 73, 'H1'], [74, 82, 'H1']]"
 D.,None,[]
 (1963) in Physics from Columbia University in New York.,H1,"[[23, 31, 'H1'], [32, 42, 'H1']]"
 He studied under Charles H.,H0,"[[17, 24, 'H0'], [25, 27, 'H0']]"
 Townes and was involved in the early research work of laser development.,H0,"[[0, 6, 'H0']]"
" Notably, Abella's thesis under Townes was among the earliest work on two-photon absorption.",H0,"[[9, 17, 'H0'], [31, 37, 'H0']]"
" He was married to Mary Ann Abella, Professor of Art, Chicago State University.",H0,"[[18, 22, 'H0'], [23, 26, 'H0'], [27, 34, 'H0'], [35, 44, 'H1'], [45, 47, 'H1'], [48, 52, 'H1'], [53, 60, 'H1'], [61, 66, 'H1'], [67, 78, 'H1']]"
" He has a son Benjamin, and daughter, Sarah.",H0,"[[13, 22, 'H0'], [37, 43, 'H0']]"
" Abella was known for his work with laser coherent transients, where photon echo techniques are used to probe metastable excited states in rare gas mixtures such as helium, neon, and argon.",H0,"[[0, 6, 'H0']]"
" These states are produced in a weakly ionized RF plasma discharge, and nitrogen-pumped dye lasers are used to generate the coherent super-position states.",None,[]
 The University of Chicago.,None,[]
 He was also known for his work in spectroscopy of rare-earth laser materials.,None,[]
" Samples of YLF and YAG crystals doped with erbium, thulium, and holmium are being studied with selective laser excitation in the region of 780 nm, the erbium bands.",None,[]
" These materials can be efficiently optically pumped by the AlGaAs-GaAs laser diode arrays, but dye laser excitation is used instead.",None,[]
" He was interested in the energy transfer process: Er to Tm, to Ho, which concentrates energy emission at 2.",None,[]
 085 µm at room temperature and at liquid nitrogen.,None,[]
" The process is a radiationless, almost resonant transfer of energy between sites and depends on the relative concentrations of the rare earth ions.",None,[]
" In particular his experimental interests are measuring decay rates, excited state absorption, and branching ratios and detailed theories of such processes.",None,[]
" Isaac Abella died on October 23, 2016 in Chicago, Illinois, at the age of 82.",H0,"[[0, 5, 'H0'], [6, 12, 'H0']]"
 I.,None,[]
 D.,H0,"[[0, 2, 'H0']]"
 Abella and C.,H0,"[[0, 6, 'H0'], [7, 10, 'H0'], [11, 13, 'H0']]"
 H.,H0,"[[0, 2, 'H0']]"
 Townes.,H0,"[[0, 7, 'H0']]"
" ""Mode Characteristics and Coherence in Optical Ruby Masers"", Nature 192, 957(1961) N.",None,[]
 A.,None,[]
" Kurnit, I.",None,[]
 D.,None,[]
" Abella, S.",None,[]
 R.,None,[]
" Hartmann, ""Observation of a Photon Echo"", Physical Review Letters,13, 567 - 568 (1964) I.",None,[]
 D.,None,[]
" Abella, N.",None,[]
 A.,None,[]
" Kurnit, and S.",None,[]
 R.,None,[]
" Hartmann, ""Photon Echoes"", Phys.",None,[]
 Rev.,None,[]
" 141, 391 - 406 (1966) A.",None,[]
